lecturer_id,full_name,department,email,phone_number,hire_date,employment_type
1356,Cale Figger,Arts,cfigger0@who.int,838-787-3264,31/08/2020,Full-time
3080,Miner Du Plantier,Engineering,mdu1@oakley.com,823-276-4346,20/08/2020,Full-time
7799,Adamo Tatlowe,Computing,atatlowe2@rambler.ru,320-818-9521,16/02/2020,Visiting
3428,Viviana Shout,Law,vshout3@123-reg.co.uk,820-462-4388,31/12/2020,Full-time
2122,Lamont Pomfrett,Social Sciences,lpomfrett4@google.pl,537-431-3779,09/10/2018,Full-time
5968,Fredrika Kaaskooper,Engineering,fkaaskooper5@cnet.com,373-992-2568,25/02/2022,Full-time
4605,Akim Bowkett,Agriculture,abowkett6@so-net.ne.jp,726-616-9562,10/11/2019,Visiting
5075,Pier Tuson,Engineering,ptuson7@ted.com,978-121-9273,15/06/2021,Visiting
7455,Perry McGrowther,Business,pmcgrowther8@cargocollective.com,423-994-0133,10/09/2018,Full-time
6322,Raoul Leschelle,Computing,rleschelle9@yale.edu,516-466-1364,26/12/2020,Full-time
7370,Wendi Wensley,Business,wwensleya@jalbum.net,552-915-5650,13/12/2019,Full-time
8394,Dar Lilie,Business,dlilieb@ovh.net,946-860-9745,07/01/2021,Full-time
1170,Mendy Cake,Computing,mcakec@cmu.edu,683-519-4399,13/03/2021,Full-time
5550,Patrice Derr,Business,pderrd@bbc.co.uk,765-961-2441,28/12/2020,Full-time
7176,Kylie Hansley,Engineering,khansleye@360.cn,162-902-5518,10/03/2020,Visiting
7612,Gabey Flewitt,Engineering,gflewittf@last.fm,752-220-2616,19/07/2020,Full-time
3721,Joletta Castella,Science,jcastellag@timesonline.co.uk,898-781-0514,14/05/2022,Full-time
6250,Cherida Culham,Engineering,cculhamh@slideshare.net,159-965-3701,29/05/2020,Visiting
9503,Marlo Firmage,Architecture,mfirmagei@hugedomains.com,363-870-1101,05/01/2018,Visiting
7074,Graham Sibthorp,Social Sciences,gsibthorpj@tripod.com,762-887-9203,15/10/2020,Full-time
9229,Liane Aiston,Computing,laistonk@ucoz.ru,566-408-6236,07/06/2021,Visiting
7581,Hendrik Perryn,Law,hperrynl@ucla.edu,127-167-3980,08/07/2018,Full-time
5893,Chad Whiteley,Architecture,cwhiteleym@ucsd.edu,326-968-5265,27/06/2020,Visiting
5274,Nate Kulver,Science,nkulvern@hud.gov,544-739-6525,25/01/2019,Visiting
8298,Dunn Carlisle,Computing,dcarlisleo@edublogs.org,926-993-1219,07/12/2018,Full-time
6261,Sheryl Bulcock,Social Sciences,sbulcockp@sohu.com,784-858-5669,09/09/2019,Full-time
1319,Shaina Readman,Medicine,sreadmanq@baidu.com,623-659-6235,23/04/2022,Visiting
2646,Brion Franzetti,Arts,bfranzettir@dailymail.co.uk,768-110-9550,24/06/2022,Full-time
